player_id,team_id,full_name,position,country,birth_date,shirt_number
35,2,Pedro Davies,MF,Belgium,1993-12-11,28
36,2,Leo Rice,MF,Brazil,2003-06-22,20
37,2,Kevin Son,MF,Germany,2002-07-29,29
38,2,Vinicius Kovacic,MF,Brazil,1990-09-18,15
39,2,Harry Haaland,MF,Italy,1988-06-21,15
40,2,Marcus Santos,MF,Spain,1988-02-28,4
41,2,Mason Williams,MF,Uruguay,1988-09-14,22
42,2,Harry Saka,FW,Portugal,1993-05-03,32
43,2,Leo Rice,FW,Egypt,1990-12-19,31
44,2,Mason Walker,FW,Brazil,1997-02-16,7
45,2,Jack Son,FW,Germany,1997-09-01,28
46,2,Luka Kovacic,FW,Norway,1989-03-19,7
47,3,Oliver Rodriguez,GK,Croatia,1995-08-11,7
48,3,Mason Silva,GK,Belgium,1992-04-07,29
49,3,George Mueller,GK,Portugal,1992-02-12,30
50,3,Mason Williams,DF,Croatia,1997-12-09,7
51,3,Oliver Kane,DF,Uruguay,2000-02-15,1
52,3,Harry Santos,DF,Argentina,1991-09-24,32
53,3,Kylian Silva,DF,England,1996-12-29,11
54,3,Kevin Smith,DF,Portugal,1996-10-03,30
55,3,Diego Mueller,DF,Egypt,2003-08-16,32
56,3,George Silva,DF,Brazil,1994-08-27,4
57,3,Marcus Diaz,DF,England,2000-02-28,21
58,3,Oliver Jones,MF,Netherlands,2001-02-06,33
59,3,Vinicius Davies,MF,Belgium,1989-04-10,6
60,3,Noah Williams,MF,Spain,2001-05-06,16
61,3,Kevin Brown,MF,Brazil,2000-10-10,3
62,3,Bukayo Williams,MF,Norway,1997-05-27,34
63,3,Mohamed Fernandes,MF,Norway,1992-07-31,21
64,3,Mason Fernandes,MF,France,1996-11-16,20
65,3,Erling Haaland,FW,England,1989-08-17,30
66,3,Bukayo Foden,FW,Spain,1990-03-30,35
67,3,Leo Saka,FW,France,1993-12-12,23
68,3,Harry Santos,FW,Portugal,1996-04-15,11
69,3,Erling Rice,FW,Portugal,2003-10-12,34
70,4,James Son,GK,Portugal,2000-06-09,7
71,4,George Fernandes,GK,Spain,1990-08-03,10
72,4,Lucas Salah,GK,Brazil,2001-07-25,22
73,4,Leo Son,DF,Uruguay,2002-03-23,17
74,4,Vinicius Walker,DF,Uruguay,1993-08-19,4
75,4,Harry Kane,DF,Uruguay,1997-07-01,18
76,4,Oliver Smith,DF,Croatia,1995-06-25,9
77,4,Phil Fernandes,DF,Egypt,1991-08-16,29
78,4,Pedro Nunez,DF,Belgium,1997-08-04,1
79,4,Jack Williams,DF,France,2003-07-01,35
80,4,Oliver Mbappe,DF,Belgium,2001-01-23,10
81,4,Luka Taylor,MF,Portugal,1988-12-08,24
82,4,Oliver Mbappe,MF,Norway,1992-09-16,16
83,4,Declan Brown,MF,Croatia,1995-12-07,27
84,4,Bukayo Diaz,MF,Brazil,1991-06-20,11
85,4,Noah Mueller,MF,France,1988-07-22,22
86,4,Luka Son,MF,Portugal,1993-07-25,11
87,4,Trent Brown,MF,Uruguay,1996-07-30,3
88,4,Kylian Santos,FW,Uruguay,1992-06-22,30
89,4,Bruno Salah,FW,Brazil,1993-02-07,2
90,4,Declan Silva,FW,Germany,1996-12-08,18
91,4,Harry Fernandes,FW,Norway,1995-11-16,33
92,4,Kevin Son,FW,Germany,2000-01-10,2
93,5,Jack Fernandes,GK,Italy,1992-01-02,17
94,5,Oliver Brown,GK,Argentina,2001-05-19,23
95,5,Jordan Haaland,GK,Italy,1997-10-14,33
96,5,Jack Rodriguez,DF,Brazil,2000-12-06,17
97,5,Oliver Nunez,DF,England,1997-10-12,34
98,5,Pedro Son,DF,Brazil,2003-01-15,24
99,5,Luka Williams,DF,Germany,2002-11-24,21
100,5,Declan Brown,DF,Belgium,1994-09-26,20
101,5,Declan Mueller,DF,Argentina,1995-04-26,19
102,5,Pedro Taylor,DF,Argentina,1992-04-20,25
103,5,Declan Diaz,DF,Italy,1991-11-26,20
104,5,Kevin Rice,MF,Portugal,1988-01-04,19
105,5,Leo Mueller,MF,Italy,2001-01-03,21
106,5,Erling Kovacic,MF,Norway,1997-12-01,14
107,5,Vinicius Walker,MF,Norway,1991-10-22,6
108,5,Diego Saka,MF,Norway,2002-11-21,22
109,5,Harry Santos,MF,Portugal,2003-02-02,15
110,5,Leo Taylor,MF,England,1988-07-19,16
111,5,Kylian Sterling,FW,Netherlands,1989-08-19,27
112,5,Phil Foden,FW,Egypt,1992-05-11,25
113,5,Kylian Rodriguez,FW,France,1993-06-21,1
114,5,Raheem Brown,FW,Brazil,1997-07-14,12
115,5,Trent Saka,FW,England,1998-06-02,16
116,6,Jack Kovacic,GK,Croatia,1990-12-28,30
117,6,Declan Saka,GK,Italy,2000-07-14,21
118,6,Raheem Kovacic,GK,Uruguay,2001-09-27,33
119,6,Luka Rice,DF,France,1997-12-31,31
120,6,Erling Fernandes,DF,Uruguay,1993-07-18,18
121,6,Raheem Saka,DF,Norway,1998-11-13,16
122,6,Lucas Kovacic,DF,Egypt,1989-09-26,19
123,6,Mason Fernandes,DF,Germany,1995-07-14,35
124,6,Harry Taylor,DF,Brazil,1991-05-20,25
125,6,Trent Taylor,DF,Brazil,2003-11-04,5
126,6,Luka Mueller,DF,Belgium,1995-06-03,30
127,6,Luka Jones,MF,Uruguay,1992-08-21,27
128,6,Kevin Foden,MF,England,2003-08-07,25
129,6,Kylian Smith,MF,Portugal,1995-11-21,25
130,6,Luka Rice,MF,Croatia,2000-03-31,15
131,6,Kylian Santos,MF,Argentina,1994-02-13,32
132,6,James Rodriguez,MF,Norway,1995-07-16,26
133,6,Jordan Davies,MF,France,1998-06-25,35
134,6,James Rodriguez,FW,Italy,2001-04-10,2
135,6,Harry Kane,FW,France,1997-08-12,30
136,6,Noah Jones,FW,Argentina,1993-11-01,21
137,6,Leo Kovacic,FW,Germany,1995-05-01,25
138,6,Lucas Mueller,FW,Uruguay,1993-08-28,6
139,7,Kylian Smith,GK,England,2000-02-05,23
140,7,Mason Kane,GK,Croatia,1989-07-16,3
141,7,Raheem Smith,GK,Brazil,1993-07-18,2
142,7,Bukayo Taylor,DF,France,1993-05-08,31
143,7,Declan Brown,DF,Brazil,2000-08-25,30
144,7,Trent Fernandes,DF,France,1996-04-09,8
145,7,Raheem Davies,DF,Spain,1994-12-23,2
146,7,Diego Foden,DF,Argentina,2003-03-11,26
147,7,Trent Silva,DF,Italy,1989-09-14,16
148,7,Jack Nunez,DF,Uruguay,1994-10-06,8
149,7,Marcus Jones,DF,Belgium,1995-10-15,28
150,7,Declan Mbappe,MF,Belgium,1989-07-18,22
151,7,James Mueller,MF,Spain,1998-12-29,28
152,7,Bruno Kane,MF,Egypt,1998-04-24,10
153,7,Luka Davies,MF,Norway,1999-09-14,18
154,7,Bukayo Rice,MF,Netherlands,1998-11-04,28
155,7,Jordan Foden,MF,Germany,1994-01-07,16
156,7,Harry Fernandes,MF,Brazil,1998-02-09,30
157,7,Marcus Sterling,FW,Argentina,2002-12-26,22
158,7,James Walker,FW,France,1995-04-16,32
159,7,Leo Mbappe,FW,Germany,1993-10-17,18
160,7,Bukayo Nunez,FW,Belgium,1994-03-13,1
161,7,Vinicius Silva,FW,Brazil,1989-12-02,27
162,8,Kylian Rice,GK,Egypt,1993-05-22,31
163,8,Phil Nunez,GK,Netherlands,1999-01-03,2
164,8,Harry Salah,GK,Argentina,1992-12-20,16
165,8,Diego Son,DF,Germany,2001-01-16,31
166,8,Pedro Saka,DF,Argentina,1995-09-17,22
167,8,Bruno Nunez,DF,Portugal,1998-03-06,20
168,8,Lucas Santos,DF,Egypt,1990-09-15,13
169,8,Mohamed Brown,DF,Croatia,2000-01-07,12
170,8,Leo Silva,DF,Portugal,1998-11-10,34
171,8,Bukayo Salah,DF,Uruguay,1990-04-03,13
172,8,Diego Santos,DF,France,1996-02-04,20
173,8,James Nunez,MF,France,1999-12-24,18
174,8,Oliver Jones,MF,Portugal,2000-05-30,9
175,8,Phil Walker,MF,Uruguay,1990-04-20,1
176,8,Marcus Salah,MF,Netherlands,1998-07-12,29
177,8,Mohamed Davies,MF,Portugal,1989-02-24,31
178,8,Jack Williams,MF,Netherlands,1996-12-26,5
179,8,Marcus Kane,MF,England,2003-05-25,10
180,8,George Foden,FW,Spain,1994-10-25,16
181,8,Jack Rice,FW,Italy,1997-05-02,15
182,8,Raheem Saka,FW,Netherlands,1996-07-13,29
183,8,Diego Foden,FW,Portugal,1997-08-13,4
184,8,Bukayo Diaz,FW,Croatia,1990-03-23,14
185,9,Phil Silva,GK,Norway,1993-12-07,6
186,9,Noah Santos,GK,Belgium,1991-11-24,5
187,9,Noah Smith,GK,Netherlands,1997-02-28,31
188,9,Diego Jones,DF,Portugal,1993-03-11,19
189,9,Trent Kovacic,DF,Norway,1989-08-06,15
190,9,Lucas Kane,DF,Norway,2001-03-24,13
191,9,Luka Brown,DF,Brazil,2000-03-19,10
192,9,Lucas Taylor,DF,England,1989-08-07,11
193,9,Diego Sterling,DF,Portugal,2000-10-06,29
194,9,Jack Kovacic,DF,Portugal,2003-06-12,26
195,9,Lucas Saka,DF,Netherlands,2000-02-10,29
196,9,Harry Sterling,MF,Argentina,1988-11-22,21
197,9,Bukayo Fernandes,MF,Spain,1988-07-30,15
198,9,Declan Foden,MF,England,2001-03-02,18
199,9,Marcus Jones,MF,Netherlands,1991-12-06,34
200,9,Phil Kovacic,MF,France,1994-03-28,28
201,9,Phil Walker,MF,Netherlands,1990-01-17,23
202,9,Luka Haaland,MF,Norway,1995-03-15,7
203,9,Noah Haaland,FW,Egypt,1997-03-26,32
204,9,Diego Son,FW,Uruguay,1996-12-24,3
205,9,Erling Williams,FW,Portugal,1995-01-20,21
206,9,Jack Rodriguez,FW,Uruguay,1999-07-17,1
207,9,Declan Rice,FW,Argentina,1998-05-12,4
208,10,Leo Saka,GK,Italy,1996-02-11,32
209,10,Phil Kovacic,GK,Brazil,1989-02-26,18
210,10,Pedro Taylor,GK,Netherlands,1994-06-17,32
211,10,Jack Smith,DF,Italy,2002-02-17,16
212,10,Trent Davies,DF,Belgium,1994-12-20,1
213,10,Pedro Mueller,DF,Brazil,1990-02-02,8
214,10,Erling Brown,DF,Uruguay,2002-07-12,10
215,10,Kylian Nunez,DF,Belgium,1994-07-18,18
216,10,Luka Walker,DF,Brazil,1998-08-04,30
217,10,Pedro Taylor,DF,Brazil,1996-08-08,33
218,10,Jordan Taylor,DF,Portugal,1989-07-25,27
219,10,Mohamed Saka,MF,Uruguay,1993-12-28,1
220,10,Diego Diaz,MF,Uruguay,1994-09-11,32
221,10,George Kovacic,MF,Netherlands,2000-01-30,23
222,10,Mohamed Rice,MF,Argentina,2000-03-09,30
223,10,Mohamed Silva,MF,Brazil,2003-08-23,25
224,10,Mason Mueller,MF,Germany,1988-12-23,31
225,10,Trent Rodriguez,MF,Norway,1996-08-28,10
226,10,Kylian Jones,FW,Belgium,1990-10-31,22
227,10,Jack Kovacic,FW,Belgium,1990-03-27,30
228,10,James Diaz,FW,Argentina,1991-03-26,10
229,10,Harry Walker,FW,Germany,1993-12-11,26
230,10,Phil Williams,FW,Uruguay,1995-05-15,35
231,11,Kevin Haaland,GK,Egypt,2002-01-21,32
232,11,Pedro Jones,GK,Spain,2001-11-06,16
233,11,Phil Son,GK,Brazil,1994-06-12,6
234,11,Luka Brown,DF,Egypt,2002-03-19,7
235,11,Erling Davies,DF,Portugal,2003-07-26,2
236,11,Oliver Haaland,DF,Portugal,1989-04-04,23
237,11,Bruno Mueller,DF,Brazil,1991-04-07,34
238,11,Luka Foden,DF,Croatia,2003-04-17,12
239,11,Noah Davies,DF,Italy,1989-10-08,25
240,11,Bukayo Son,DF,Netherlands,1993-05-26,10
241,11,Mason Kovacic,DF,Portugal,2002-04-22,30
242,11,Lucas Son,MF,Croatia,1988-03-17,30
243,11,Diego Son,MF,France,2000-04-04,5
244,11,Erling Mbappe,MF,Portugal,2001-03-06,28
245,11,Trent Fernandes,MF,Uruguay,1998-03-31,20
246,11,Leo Rodriguez,MF,Spain,1998-11-02,16
247,11,Kevin Foden,MF,Italy,1996-01-19,19
248,11,Trent Salah,MF,Uruguay,1988-06-28,26
249,11,Lucas Smith,FW,Uruguay,2000-09-10,4
250,11,Bukayo Diaz,FW,Uruguay,1999-02-21,19
251,11,Raheem Santos,FW,Croatia,2001-08-13,23
252,11,Mason Kane,FW,Italy,1992-04-06,17
253,11,Declan Diaz,FW,Norway,2002-10-14,9
254,12,Phil Brown,GK,Norway,2002-01-27,3
255,12,Diego Kovacic,GK,Italy,1988-09-30,24
256,12,Jordan Taylor,GK,Portugal,1990-01-08,21
257,12,Jordan Mueller,DF,Brazil,1991-12-09,9
258,12,Pedro Mbappe,DF,Belgium,1999-11-27,18
259,12,Noah Fernandes,DF,Croatia,1998-10-22,19
260,12,Jordan Haaland,DF,Netherlands,1990-08-01,5
261,12,George Santos,DF,Egypt,2003-03-03,26
262,12,Pedro Mbappe,DF,Croatia,1990-01-09,26
263,12,James Fernandes,DF,Spain,2000-01-13,30
264,12,Bruno Son,DF,Portugal,2003-01-29,25
265,12,Phil Mbappe,MF,Norway,1990-06-06,15
266,12,Kylian Smith,MF,Belgium,2001-11-23,21
267,12,Bukayo Santos,MF,Spain,2002-07-11,30
268,12,Trent Salah,MF,Argentina,2002-07-24,8
269,12,George Jones,MF,Portugal,1988-10-31,32
270,12,Jack Brown,MF,Belgium,1993-04-07,9
271,12,Kevin Kovacic,MF,Norway,1996-04-27,35
272,12,Luka Foden,FW,Argentina,1991-06-19,7
273,12,Kylian Sterling,FW,Portugal,1997-02-25,3
274,12,Trent Mbappe,FW,Netherlands,1992-11-14,29
275,12,Mason Mbappe,FW,Norway,1990-03-24,24
276,12,Pedro Kane,FW,England,1996-01-17,26
277,13,Lucas Silva,GK,Uruguay,1990-09-27,30
278,13,Harry Son,GK,Norway,1992-10-03,2
279,13,Oliver Haaland,GK,France,1993-06-18,14
280,13,Harry Rice,DF,Italy,1992-08-24,14
281,13,Mason Haaland,DF,Croatia,1991-04-23,1
282,13,Lucas Taylor,DF,Belgium,1990-11-30,17
283,13,Noah Brown,DF,Uruguay,2002-10-29,2
284,13,George Smith,DF,Croatia,1996-01-13,16
285,13,Marcus Haaland,DF,France,1988-05-09,17
286,13,Oliver Taylor,DF,Belgium,1997-06-10,8
287,13,Jordan Williams,DF,Netherlands,1998-09-06,24
288,13,Vinicius Foden,MF,Netherlands,1990-06-12,33
289,13,Mason Sterling,MF,Egypt,1988-12-21,34
290,13,Diego Kovacic,MF,England,2002-06-06,4
291,13,Kylian Rodriguez,MF,Norway,1997-07-24,7
292,13,Kylian Nunez,MF,Spain,1997-12-12,6
293,13,Mohamed Sterling,MF,Spain,1991-04-30,9
294,13,Lucas Sterling,MF,Italy,2002-03-14,21
295,13,Kevin Sterling,FW,Portugal,1999-11-25,30
296,13,Vinicius Sterling,FW,Spain,1997-08-25,8
297,13,Phil Kane,FW,Egypt,2000-05-13,14
298,13,Luka Kovacic,FW,Argentina,1993-02-14,22
299,13,Erling Rodriguez,FW,Egypt,1997-04-30,7
300,14,Mohamed Mueller,GK,Norway,1995-01-04,17
301,14,Bruno Taylor,GK,Netherlands,2003-05-28,5
302,14,Harry Williams,GK,Argentina,1990-02-02,7
303,14,Jordan Diaz,DF,Croatia,1996-05-10,9
304,14,Pedro Jones,DF,Belgium,2001-02-25,22
305,14,Declan Brown,DF,Germany,1997-03-19,28
306,14,Jordan Jones,DF,Italy,1994-06-14,20
307,14,Bruno Brown,DF,Belgium,2000-12-17,14
308,14,George Son,DF,Brazil,1998-10-25,7
309,14,Bruno Rice,DF,Spain,1996-03-30,18
310,14,Marcus Santos,DF,Uruguay,1997-08-16,2
311,14,Bukayo Son,MF,Portugal,2003-07-21,2
312,14,Noah Fernandes,MF,Croatia,2003-10-05,20
313,14,Mohamed Mbappe,MF,France,1988-02-20,10
314,14,Marcus Son,MF,Spain,1996-12-27,10
315,14,Jordan Kane,MF,Spain,1988-09-08,34
316,14,Leo Rodriguez,MF,Netherlands,1997-06-01,22
317,14,Noah Mbappe,MF,Egypt,1994-12-27,21
318,14,Raheem Foden,FW,Spain,2001-05-16,4
319,14,George Davies,FW,England,2001-11-09,6
320,14,Lucas Kovacic,FW,Argentina,2002-11-05,32
321,14,Bukayo Kovacic,FW,Portugal,1997-04-15,14
322,14,Raheem Saka,FW,Germany,1990-07-21,28
323,15,Jack Salah,GK,Norway,2003-03-18,32
324,15,Vinicius Son,GK,England,1994-12-01,15
325,15,Kevin Sterling,GK,England,1989-03-24,14
326,15,Diego Silva,DF,Croatia,1991-01-29,17
327,15,Diego Haaland,DF,England,1990-09-09,32
328,15,Jordan Mueller,DF,France,1991-12-10,25
329,15,Pedro Nunez,DF,Belgium,1993-02-28,23
330,15,Harry Rodriguez,DF,Argentina,1988-12-12,2
331,15,Erling Williams,DF,Italy,1995-01-08,28
332,15,Marcus Rodriguez,DF,Norway,2003-11-30,27
333,15,Diego Brown,DF,England,1997-01-31,21
334,15,Noah Sterling,MF,Uruguay,1998-04-27,24
335,15,Harry Mueller,MF,Brazil,1990-05-17,28
336,15,Marcus Rodriguez,MF,Spain,1999-10-02,26
337,15,Diego Diaz,MF,Brazil,1995-08-13,22
338,15,Raheem Davies,MF,Belgium,1989-09-17,8
339,15,Vinicius Saka,MF,Croatia,1992-05-07,23
340,15,Bruno Diaz,MF,Uruguay,2002-06-23,10
341,15,Mason Brown,FW,Portugal,1991-04-14,13
342,15,Noah Sterling,FW,Croatia,1991-06-06,5
343,15,Noah Kane,FW,Netherlands,1999-01-30,29
344,15,Declan Foden,FW,Norway,2002-06-03,21
345,15,Phil Haaland,FW,Netherlands,1991-05-21,5
346,16,Kylian Kovacic,GK,Portugal,2002-02-28,18
347,16,Marcus Jones,GK,Belgium,1995-11-23,5
348,16,Diego Kovacic,GK,England,1998-02-19,4
349,16,Bruno Salah,DF,Norway,1989-09-20,6
350,16,Bukayo Sterling,DF,Argentina,1999-05-16,30
351,16,Marcus Rice,DF,Netherlands,1988-12-02,13
352,16,Mohamed Sterling,DF,Belgium,1998-09-01,10
353,16,Oliver Kovacic,DF,Croatia,1990-04-27,22
354,16,Trent Williams,DF,Norway,1999-04-26,12
355,16,Oliver Santos,DF,Netherlands,2003-11-14,29
356,16,Vinicius Saka,DF,France,2001-09-04,24
357,16,Bruno Salah,MF,Argentina,1996-09-08,22
358,16,Declan Sterling,MF,Croatia,1989-03-04,22
359,16,Harry Haaland,MF,Belgium,1990-02-13,25
360,16,Diego Fernandes,MF,Italy,2002-09-22,10
361,16,Mohamed Williams,MF,Norway,2001-01-25,10
362,16,Bruno Salah,MF,Egypt,2002-09-18,26
363,16,George Sterling,MF,Spain,2003-11-24,20
364,16,Pedro Rodriguez,FW,Croatia,2002-06-07,22
365,16,George Son,FW,Uruguay,2003-10-06,34
366,16,Harry Kane,FW,Argentina,2003-01-14,33
367,16,Bruno Smith,FW,Portugal,1996-02-18,12
368,16,Leo Haaland,FW,Brazil,1998-11-27,15
369,17,George Taylor,GK,Portugal,1989-09-24,7
370,17,Vinicius Rice,GK,England,1999-10-23,22
371,17,Raheem Sterling,GK,Italy,1990-12-09,25
372,17,George Davies,DF,Uruguay,1992-01-21,11
373,17,Jordan Kovacic,DF,Argentina,1988-12-23,24
374,17,Declan Diaz,DF,Netherlands,1993-04-29,19
375,17,Raheem Diaz,DF,Brazil,1998-01-25,35
376,17,Mason Salah,DF,Uruguay,1998-07-09,13
377,17,Bruno Son,DF,Netherlands,2000-10-16,30
378,17,Raheem Salah,DF,Belgium,1996-07-25,34
379,17,Luka Davies,DF,Croatia,1992-06-23,9
380,17,Lucas Jones,MF,Netherlands,2002-05-19,24
381,17,Pedro Brown,MF,Uruguay,2003-12-15,34
382,17,Jack Salah,MF,Croatia,1989-11-18,11
383,17,Lucas Kovacic,MF,France,1999-07-07,28
384,17,Harry Santos,MF,Germany,1998-02-12,2
385,17,Luka Jones,MF,Belgium,1996-11-21,24
386,17,Mason Rodriguez,MF,Germany,1989-10-30,15
387,17,James Haaland,FW,Uruguay,1990-03-22,22
388,17,George Taylor,FW,Portugal,1988-11-09,31
389,17,Trent Taylor,FW,Netherlands,2003-10-28,29
390,17,Bukayo Smith,FW,England,1989-10-11,17
391,17,Leo Taylor,FW,Egypt,2000-04-22,34
392,18,Luka Brown,GK,Brazil,1994-06-18,20
393,18,Jack Jones,GK,Argentina,1993-05-07,30
394,18,Harry Brown,GK,Italy,1999-03-18,35
395,18,James Kane,DF,Italy,1999-07-23,16
396,18,Trent Taylor,DF,Argentina,1994-07-14,1
397,18,Bukayo Mbappe,DF,Italy,1993-05-24,27
398,18,Noah Son,DF,Spain,2002-12-27,34
399,18,Bruno Williams,DF,Belgium,1999-10-19,33
400,18,Vinicius Rice,DF,Argentina,1988-06-15,31
401,18,Oliver Kane,DF,Germany,1996-09-04,17
402,18,Jordan Smith,DF,Croatia,1996-01-04,5
403,18,Bruno Santos,MF,Norway,2002-09-26,7
404,18,Raheem Foden,MF,France,1995-06-16,3
405,18,Bruno Rice,MF,Uruguay,1995-08-05,12
406,18,Raheem Son,MF,Egypt,1998-06-03,31
407,18,Phil Davies,MF,Spain,1991-01-09,30
408,18,Oliver Salah,MF,England,1992-07-09,13
409,18,Oliver Haaland,MF,Belgium,1994-12-15,26
410,18,Pedro Walker,FW,England,1993-09-06,13
411,18,Diego Mbappe,FW,Uruguay,1989-01-26,22
412,18,Lucas Brown,FW,Argentina,1996-04-02,26
413,18,Jordan Kovacic,FW,Germany,1996-09-02,12
414,18,Kylian Nunez,FW,Germany,1999-02-27,34
415,19,Lucas Williams,GK,Spain,1997-07-09,28
416,19,Bukayo Davies,GK,Portugal,2000-03-26,21
417,19,Jack Williams,GK,Norway,1995-05-10,19
418,19,Diego Kovacic,DF,Egypt,2001-07-07,28
419,19,Noah Nunez,DF,Germany,1997-12-15,29
420,19,Oliver Diaz,DF,Italy,1995-11-28,28
421,19,Lucas Kane,DF,Spain,1989-04-14,26
422,19,Bruno Saka,DF,France,2003-03-28,2
423,19,George Sterling,DF,Croatia,2003-03-17,29
424,19,Oliver Taylor,DF,Brazil,1989-07-04,24
425,19,Bruno Rodriguez,DF,England,2000-09-20,10
426,19,Declan Kovacic,MF,Germany,1996-04-26,29
427,19,Raheem Williams,MF,France,2000-11-14,34
428,19,Bruno Rodriguez,MF,Norway,1995-01-19,18
429,19,Mason Brown,MF,Egypt,1988-07-31,12
430,19,Kylian Saka,MF,Belgium,1996-09-05,8
431,19,Lucas Fernandes,MF,Netherlands,2003-10-16,14
432,19,Bukayo Salah,MF,Netherlands,2003-07-26,13
433,19,Jack Taylor,FW,Netherlands,1989-08-29,12
434,19,Trent Kovacic,FW,Croatia,1989-12-20,21
435,19,Declan Mbappe,FW,Spain,2003-11-30,35
436,19,Diego Salah,FW,Egypt,1991-07-14,12
437,19,Bruno Saka,FW,Spain,1993-01-10,13
438,20,George Santos,GK,England,1999-01-30,24
439,20,Pedro Foden,GK,Netherlands,1996-04-10,9
440,20,Bukayo Williams,GK,Portugal,1989-06-22,26
441,20,Trent Diaz,DF,Belgium,1998-09-26,27
442,20,Raheem Mueller,DF,Spain,2000-11-22,9
443,20,Mohamed Kane,DF,Netherlands,1989-08-30,30
444,20,Declan Saka,DF,France,1995-09-23,12
445,20,Raheem Taylor,DF,Belgium,1997-09-14,4
446,20,Jack Saka,DF,Portugal,1991-06-07,11
447,20,Noah Haaland,DF,Brazil,2003-11-28,23
448,20,Vinicius Salah,DF,Portugal,1989-10-08,13
449,20,Phil Rice,MF,France,1994-02-26,20
450,20,Bukayo Rice,MF,Belgium,1990-02-04,11
451,20,Marcus Foden,MF,France,1991-06-17,22
452,20,Marcus Jones,MF,Spain,1988-08-20,3
453,20,Phil Foden,MF,Norway,1993-12-08,14
454,20,Raheem Foden,MF,Italy,1997-05-05,2
455,20,Kylian Kane,MF,Portugal,2000-03-27,20
456,20,Kylian Santos,FW,Argentina,2003-05-13,20
457,20,Erling Williams,FW,England,2003-06-12,11
458,20,Erling Mueller,FW,Netherlands,1998-11-10,14
459,20,Mohamed Sterling,FW,Germany,1991-03-22,21
460,20,Jordan Mbappe,FW,France,1996-12-10,24
